GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.writer,FileWriter,268,205,24,12,31,46,23,5,5,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote.command,GVMove,183,0,10,0,32,0,11,0,6,0
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote.command,GVUpload,47,204,7,11,6,37,8,7,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote.command,GVSearch,47,186,7,9,6,36,8,6,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote.command,GVDownload,47,210,7,11,6,39,8,7,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote.command,GVDelete,203,0,16,0,34,0,14,0,6,0
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.reader,AnalyzeDirCall,199,84,9,1,26,18,10,4,5,4
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.reader,FileReader,225,254,10,12,25,57,15,6,5,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVMove,45,114,5,3,3,21,5,5,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVZip,8,131,1,1,1,22,2,5,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVUnZip,8,110,1,1,1,20,2,5,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVCopy,45,114,5,3,3,21,5,5,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVDelete,38,93,5,3,3,19,5,5,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.command,GVSearch,15,177,5,7,2,35,6,6,1,5
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file.remote,RemoteManagerCall,157,145,2,4,19,29,6,6,5,4
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file,FileManagerCall,153,110,2,4,20,22,6,6,5,4
GreenVulcano VCL File Plugin,it.greenvulcano.gvesb.virtual.file,Activator,40,0,0,0,16,0,4,0,4,0
